round_id,round_start,round_end,captured_at,team,jersey,player,position
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Knights,14,Harrison Graham,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Knights,15,Lachlan Crouch,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Knights,16,Pasami Saulo,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Knights,17,Thomas Cant,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,1,Dylan Edwards,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,2,Thomas Jenkins,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,3,Luke Garner,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,4,Casey McLean,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,5,Brian To'o,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,6,Jack Cole,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,7,Nathan Cleary,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,8,Moses Leota,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,9,Mitch Kenny,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,10,Lindsay Smith,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,11,Isaiah Papali'i,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,12,Liam Martin,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,13,Isaah Yeo,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,14,Freddy Lussick,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,15,Scott Sorensen,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,16,Liam Henry,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Panthers,17,Billy Phillips,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,1,Matthew Dufty,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,2,Alex Johnston,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,3,Latrell Mitchell,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,4,Jack Wighton,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,5,Campbell Graham,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,6,Cody Walker,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,7,Jayden Sullivan,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,8,Tevita Tatola,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,9,Brandon Smith,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,10,Keaon Koloamatangi,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,11,David Fifita,second row
