run_id,run_utc,mode,rating_mode,date,kickoff_local,venue,home,away,model_home_win_prob,market_home_win_prob,home_win_prob,exp_margin_home,exp_total,confidence,home_odds,away_odds,favourite_team,underdog_team,auto_upset_score,auto_upset_reasons,manual_upset_team,manual_upset_score,manual_upset_notes,upset_team,final_upset_score,upset_flag,fragile_favourite,required_edge,value_flag,pick,edge,stake,stake_units,stake_dollars,recommended_bet,generated_at,predicted_winner,win_probability,confidence_band,bet_grade,final_away_win_prob,predicted_winner_odds,market_weight,market_gap,home_injury_impact,away_injury_impact,home_pts,away_pts,season_year,actual_result,bet_status,profit_units,bankroll_after
23387275261,2026-03-21 19:44:05,AUTO,ATTACK_DEFENCE,2026-03-22,,,COWBOYS,TITANS,0.921,0.605,0.538,17.2,43.8,0.78,1.6,2.45,Cowboys,Titans,0.0,,,0.0,,Titans,0.0,0,,,,,-0.087,,0.0,0.0,No Bet,2026-03-21 19:44:00+00:00,,,,,,,,,,,30.0,16.0,2026.0,HOME,NO_BET,0.0,
23387275261,2026-03-21 19:44:05,AUTO,ATTACK_DEFENCE,2026-03-22,,,EELS,DRAGONS,0.629,0.634,0.611,4.8,54.7,0.59,1.53,2.65,Eels,Dragons,2.0,dog_recent_margin|h2h_dog_edge,,0.0,,Dragons,2.0,1,,,,,-0.042,,0.0,0.0,No Bet,2026-03-21 19:44:00+00:00,,,,,,,,,,,30.0,20.0,2026.0,HOME,NO_BET,0.0,
20260325195917,2026-03-25 19:59:17,AUTO,ATTACK_DEFENCE,2026-03-26,,,MANLY,ROOSTERS,0.4,0.344,0.323,-2.0,48.1,0.58,2.8,1.47,Roosters,Sea Eagles,0.0,,,0.0,,Sea Eagles,0.0,0,0.0,0.04,,,-0.003,0.0,0.0,0.0,No Bet,2026-03-25 19:59:00+00:00,Roosters,0.677,Low,No Bet,0.677,1.47,0.67,0.021,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260326200029,2026-03-26 20:00:29,AUTO,ATTACK_DEFENCE,2026-03-27,,,BRONCOS,DOLPHINS,0.051,0.582,0.469,-17.5,40.1,0.82,1.65,2.3,Broncos,Dolphins,2.0,dog_recent_margin|dog_recent_winrate,,0.0,,Dolphins,2.0,1,0.0,0.102,,,0.0,0.0,0.0,0.0,No Bet,2026-03-26 20:00:00+00:00,Dolphins,0.531,Low,No Bet,0.531,2.3,0.63,0.114,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260326200029,2026-03-26 20:00:29,AUTO,ATTACK_DEFENCE,2026-03-27,,,WARRIORS,TIGERS,0.985,0.779,0.905,25.6,40.7,0.82,1.22,4.3,Warriors,Wests Tigers,0.0,,,0.0,,Wests Tigers,0.0,0,0.0,0.015,Strong Bet Warriors,HOME,0.085,4.0,4.0,40.0,$40.00 Warriors,2026-03-26 20:00:00+00:00,Warriors,0.905,High,Strong Bet,0.095,1.22,0.67,0.126,0.0,5.52,,,,PENDING,PENDING,0.0,
20260327195617,2026-03-27 19:56:17,AUTO,ATTACK_DEFENCE,2026-03-28,,,BULLDOGS,KNIGHTS,0.451,0.768,0.757,-0.4,26.2,0.54,1.24,4.1,Bulldogs,Knights,1.5,fav_short_market_only|very_short_favourite,,0.0,,Knights,1.5,0,0.0,0.015,,,-0.05,0.0,0.0,0.0,No Bet,2026-03-27 19:56:00+00:00,Bulldogs,0.757,Low,No Bet,0.243,1.24,0.67,0.011,0.0,6.0,,,,PENDING,NO_BET,0.0,
20260327195617,2026-03-27 19:56:17,AUTO,ATTACK_DEFENCE,2026-03-28,,,COWBOYS,STORM,0.004,0.221,0.149,-29.0,45.8,0.82,4.4,1.25,Storm,Cowboys,0.0,,,0.0,,Cowboys,0.0,0,0.0,0.04,Small Bet Storm,AWAY,0.051,2.0,2.0,20.0,$20.00 Storm,2026-03-27 19:56:00+00:00,Storm,0.851,High,Small Bet,0.851,1.25,0.67,0.072,0.0,0.0,,,,PENDING,PENDING,0.0,
20260327195617,2026-03-27 19:56:17,AUTO,ATTACK_DEFENCE,2026-03-28,,,PANTHERS,EELS,0.999,0.805,0.858,34.3,45.6,0.82,1.2,4.95,Panthers,Eels,0.0,,,0.0,,Eels,0.0,0,0.0,0.016,Small Bet Panthers,HOME,0.024,2.0,2.0,20.0,$20.00 Panthers,2026-03-27 19:56:00+00:00,Panthers,0.858,High,Small Bet,0.142,1.2,0.67,0.053,0.0,0.0,,,,PENDING,PENDING,0.0,
20260328195014,2026-03-28 19:50:14,AUTO,ATTACK_DEFENCE,2026-03-29,,,RAIDERS,SHARKS,0.309,0.532,0.46,-4.8,39.6,0.65,1.8,2.05,Raiders,Sharks,0.0,,,0.0,,Sharks,0.0,0,0.0,0.09,,,0.0,0.0,0.0,0.0,No Bet,2026-03-28 19:50:00+00:00,Sharks,0.54,Low,No Bet,0.54,2.05,0.63,0.072,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260328195014,2026-03-28 19:50:14,AUTO,ATTACK_DEFENCE,2026-03-29,,,TITANS,DRAGONS,0.283,0.515,0.462,-5.7,39.5,0.67,1.88,2.0,Titans,Dragons,0.0,,,0.0,,Dragons,0.0,0,0.0,0.079,,,0.038,0.0,0.0,0.0,No Bet,2026-03-28 19:50:00+00:00,Dragons,0.538,Low,No Bet,0.538,2.0,0.58,0.053,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-02,,,DOLPHINS,MANLY,0.957,0.71,0.775,20.9,46.5,0.82,1.37,3.35,Dolphins,Sea Eagles,0.0,,,0.0,,Sea Eagles,0.0,0,0.0,0.026,Strong Bet Dolphins,HOME,0.045,4.0,4.0,40.0,$40.00 Dolphins,2026-03-29 21:02:00+00:00,Dolphins,0.775,High,Strong Bet,0.225,1.37,0.67,0.065,0.0,0.0,,,,PENDING,PENDING,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-03,,,PANTHERS,STORM,0.827,0.657,0.694,11.6,33.5,0.75,1.46,2.8,Panthers,Storm,0.0,,,0.0,,Storm,0.0,0,0.0,0.016,Lean Panthers,HOME,0.009,2.0,2.0,20.0,$20.00 Panthers,2026-03-29 21:02:00+00:00,Panthers,0.694,High,Small Bet,0.306,1.46,0.67,0.037,0.0,0.0,,,,PENDING,PENDING,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-03,,,RABBITOHS,BULLDOGS,0.585,0.481,0.514,3.4,30.6,0.57,2.0,1.85,Bulldogs,Rabbitohs,0.0,,,0.0,,Rabbitohs,0.0,0,0.0,0.039,,,0.014,0.0,0.0,0.0,No Bet,2026-03-29 21:02:00+00:00,Rabbitohs,0.514,Low,No Bet,0.486,2.0,0.63,0.033,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-04,,,DRAGONS,COWBOYS,0.298,0.481,0.419,-5.2,45.5,0.66,2.0,1.85,Cowboys,Dragons,0.0,,,0.0,,Dragons,0.0,0,0.0,0.059,,,0.04,0.0,0.0,0.0,No Bet,2026-03-29 21:02:00+00:00,Cowboys,0.581,Medium,No Bet,0.581,1.85,0.63,0.061,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-04,,,TITANS,BRONCOS,0.06,0.212,0.162,-16.4,36.2,0.82,4.5,1.21,Broncos,Titans,0.0,,,0.0,,Titans,0.0,0,0.0,0.04,,,0.012,0.0,0.0,0.0,No Bet,2026-03-29 21:02:00+00:00,Broncos,0.838,High,No Bet,0.838,1.21,0.67,0.05,0.0,0.0,,,,PENDING,NO_BET,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-05,,,KNIGHTS,RAIDERS,0.9,0.421,0.444,15.3,35.0,0.81,2.27,1.65,Raiders,Knights,2.0,dog_recent_margin|dog_recent_winrate,,0.0,,Knights,2.0,1,1.0,0.049,,,-0.05,0.0,0.0,0.0,No Bet,2026-03-29 21:02:00+00:00,Raiders,0.556,Low,No Bet,0.556,1.65,0.63,0.023,6.0,0.0,,,,PENDING,NO_BET,0.0,
20260329210224,2026-03-29 21:02:24,AUTO,ATTACK_DEFENCE,2026-04-05,,,SHARKS,WARRIORS,0.001,0.606,0.478,-32.3,45.4,0.82,1.6,2.46,Sharks,Warriors,2.0,dog_recent_margin|dog_recent_winrate,,0.0,,Warriors,2.0,1,0.0,0.092,,,0.115,0.0,0.0,0.0,No Bet,2026-03-29 21:02:00+00:00,Warriors,0.522,Low,No Bet,0.522,2.46,0.67,0.128,0.0,0.0,,,,PENDING,NO_BET,0.0,
