date,home,away,home_odds,away_odds,captured_at_utc
2026-09-06,St George Illawarra Dragons,Parramatta Eels,2.35,1.65,2026-09-05 21:26:02
2026-09-06,Penrith Panthers,Wests Tigers,1.11,7.0,2026-09-05 21:26:02
2026-09-09,Cronulla Sutherland Sharks,North Queensland Cowboys,1.46,2.72,2026-09-05 21:26:02
2026-09-09,South Sydney Rabbitohs,Newcastle Knights,1.39,3.01,2026-09-05 21:26:02
2026-09-11,South Sydney Rabbitohs,Newcastle Knights,1.5,2.75,2026-09-05 21:26:02
2026-09-12,Cronulla Sutherland Sharks,North Queensland Cowboys,1.5,2.85,2026-09-05 21:26:02
