fox_rank,fox_name,resolved_name,team_code,G,ST,MIN,T,TA,GLS,GK_pct,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
,H. Farnworth,,DOL,23,23,1845,13,3,0,,0,52,376,3342,13,162,76,9,126,305,28,27,2,0,0
,T. Gilbert,,DOL,23,11,942,1,0,0,,0,4,246,1994,2,20,1,1,22,654,61,8,8,1,0
,M. Knowles,,DOL,23,23,1119,1,0,0,,0,4,154,1291,2,8,5,0,0,728,82,9,14,2,0
,K. Finefeuiaki,,DOL,22,21,1732,3,0,0,,0,12,325,2947,5,59,3,0,0,737,61,13,4,1,0
,C. Lemuelu,,DOL,22,21,1676,6,3,0,,0,24,233,1973,10,55,14,0,0,665,52,20,10,1,0
,I. Katoa,,DOL,20,20,1531,2,22,1,50,0,10,86,697,1,16,9,312,9690,446,64,13,4,0,0
,F. Molo,,DOL,20,14,634,0,1,0,,0,0,173,1504,2,13,10,0,0,385,19,5,0,0,0
,K. Nikorima,,DOL,20,20,1556,4,22,0,,0,16,73,550,5,24,14,34,741,398,47,10,6,1,0
,T. Flegler,,DOL,19,16,645,2,0,0,,0,8,150,1246,2,23,12,0,0,346,23,7,18,2,0
,F. Kaufusi,,DOL,19,8,521,1,1,0,,0,4,118,954,1,6,2,0,0,233,20,3,1,0,0
,M. Plath,,DOL,19,11,1173,4,1,0,,0,16,158,1404,7,47,0,0,0,640,41,6,6,0,0
,R. Stone,,DOL,19,0,668,3,0,0,,0,12,136,1100,2,17,0,0,0,397,30,5,2,0,0
,H. Tabuai-Fidow,,DOL,19,19,1515,13,12,0,,0,52,259,2931,12,93,14,1,0,100,20,13,2,1,0
,S. Cobbo,,DOL,18,18,1429,17,3,0,,0,68,315,3059,25,96,8,7,110,70,26,36,3,0,0
,J. Marshall-King,,DOL,16,14,1069,3,2,0,,0,12,59,599,3,13,7,0,0,582,31,2,6,0,0
,K. Donoghoe,,DOL,15,0,678,2,5,0,,0,8,85,768,3,27,4,3,52,377,55,6,5,0,0
,J. Bostock,,DOL,14,14,1120,5,7,0,,0,20,236,1970,7,41,15,4,58,213,29,13,9,0,0
,B. Schneider,,DOL,13,7,782,2,4,0,,0,8,57,428,1,17,3,86,2464,269,25,8,2,0,0
,J. Averillo,,DOL,10,10,783,6,4,0,,0,24,128,1321,7,29,7,6,95,118,18,7,2,0,0
,T. Naufahu,,DOL,8,7,574,3,1,0,,0,12,142,1395,12,60,1,4,57,25,7,9,1,0,0
,T. Fuller,,DOL,7,6,488,2,3,0,,0,8,122,1113,2,41,7,2,28,49,15,8,1,0,0
,B. Pouniu,,DOL,3,3,240,0,0,0,,0,0,37,375,1,8,0,0,0,94,3,2,1,0,0
,J. Fineanganofo,,DOL,1,0,10,0,0,0,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,S. Su'a,,DOL,1,0,30,0,0,0,,0,0,4,27,0,0,0,0,0,15,3,0,0,0,0
,L. Symonds,,DOL,1,0,17,0,0,0,,0,0,2,13,0,0,0,0,0,15,1,0,0,0,0
,B. Woolf,,DOL,1,0,25,0,0,0,,0,0,3,23,0,0,0,0,0,17,2,0,1,0,0
,S. Elliott,,DOL,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B. Burns,,CRO,24,12,1415,6,1,0,,0,24,196,1663,8,41,20,4,82,668,77,13,13,0,0
,W. Kennedy,,CRO,24,24,1920,10,17,0,,0,40,334,3318,10,82,6,5,78,112,52,16,5,0,0
,T. Hazelton,,CRO,22,7,810,2,0,0,,0,8,216,1877,3,28,3,0,0,508,24,3,7,1,0
,J. Colquhoun,,CRO,21,17,934,3,0,0,,0,12,258,2098,2,20,8,0,0,582,20,5,5,0,0
,A. Fonua-Blake,,CRO,21,18,1027,2,1,0,,0,8,263,2628,2,77,19,0,0,490,18,6,4,1,0
,K. Iro,,CRO,21,21,1628,12,2,0,,0,48,343,2968,12,79,10,1,11,315,55,13,8,0,0
,S. Talakai,,CRO,21,3,750,5,1,0,,0,20,168,1633,3,49,5,0,0,227,33,9,4,0,0
,B. Trindall,,CRO,21,21,1607,9,32,10,71,1,58,69,559,6,23,5,295,8863,256,44,24,8,0,0
,T. Wilton,,CRO,21,20,1603,8,0,0,,0,32,222,1810,7,38,11,1,0,654,64,7,10,1,0
,N. Hynes,,CRO,20,20,1600,7,27,90,82,0,208,160,1437,11,47,27,121,3881,430,44,21,8,0,0
,O. Kaufusi,,CRO,20,4,594,1,2,0,,0,4,147,1236,2,32,29,0,0,284,14,0,0,0,0
,B. Brailey,,CRO,19,19,1468,3,15,0,,0,12,75,754,4,19,11,15,243,691,36,8,8,0,0
,B. Nikora,,CRO,19,16,1342,3,1,0,,0,12,170,1247,3,30,16,1,11,541,50,16,5,0,0
,S. Katoa,,CRO,18,18,1440,16,0,0,,0,64,321,2630,19,123,9,4,35,28,30,21,2,0,0
